# 
# simt, lat, lon
181.00000000,51.86609095,5.52451498
181.50000000,51.86677431,5.52371727
182.00000000,51.86745766,5.52291953
182.50000000,51.86814100,5.52212177
183.00000000,51.86882434,5.52132398
183.50000000,51.86950767,5.52052617
184.00000000,51.87019100,5.51972834
184.50000000,51.87087432,5.51893048
185.00000000,51.87155764,5.51813260
185.50000000,51.87224095,5.51733469
186.00000000,51.87292426,5.51653676
186.50000000,51.87360756,5.51573880
187.00000000,51.87429085,5.51494082
187.50000000,51.87497414,5.51414282
188.00000000,51.87565743,5.51334479
188.50000000,51.87634071,5.51254674
189.00000000,51.87702398,5.51174866
189.50000000,51.87770725,5.51095056
190.00000000,51.87839051,5.51015244
190.50000000,51.87907377,5.50935429
191.00000000,51.87975702,5.50855611
191.50000000,51.88044027,5.50775791
192.00000000,51.88112351,5.50695969
192.50000000,51.88180675,5.50616145
193.00000000,51.88248998,5.50536317
193.50000000,51.88317320,5.50456488
194.00000000,51.88385642,5.50376656
194.50000000,51.88453963,5.50296822
195.00000000,51.88522284,5.50216985
195.50000000,51.88590605,5.50137146
196.00000000,51.88658925,5.50057304
196.50000000,51.88727244,5.49977460
197.00000000,51.88795562,5.49897613
197.50000000,51.88863881,5.49817764
198.00000000,51.88932198,5.49737913
198.50000000,51.89000515,5.49658059
199.00000000,51.89068832,5.49578203
199.50000000,51.89137148,5.49498345
200.00000000,51.89205463,5.49418483
200.50000000,51.89273778,5.49338620
201.00000000,51.89342093,5.49258754
201.50000000,51.89410407,5.49178886
202.00000000,51.89478720,5.49099015
202.50000000,51.89547033,5.49019142
203.00000000,51.89615345,5.48939266
203.50000000,51.89683657,5.48859388
204.00000000,51.89751968,5.48779507
204.50000000,51.89820278,5.48699625
205.00000000,51.89888589,5.48619739
205.50000000,51.89956898,5.48539851
206.00000000,51.90025207,5.48459961
206.50000000,51.90093515,5.48380069
207.00000000,51.90161823,5.48300173
207.50000000,51.90230131,5.48220276
208.00000000,51.90298438,5.48140376
208.50000000,51.90366744,5.48060474
209.00000000,51.90435050,5.47980569
209.50000000,51.90503355,5.47900662
210.00000000,51.90571659,5.47820752
210.50000000,51.90639964,5.47740840
211.00000000,51.90708267,5.47660925
211.50000000,51.90776570,5.47581008
212.00000000,51.90844873,5.47501089
212.50000000,51.90913175,5.47421167
213.00000000,51.90981476,5.47341243
213.50000000,51.91049777,5.47261316
214.00000000,51.91118077,5.47181387
214.50000000,51.91186377,5.47101456
215.00000000,51.91254676,5.47021522
215.50000000,51.91322975,5.46941585
216.00000000,51.91391273,5.46861646
216.50000000,51.91459571,5.46781705
217.00000000,51.91527868,5.46701761
217.50000000,51.91596164,5.46621815
218.00000000,51.91664460,5.46541867
218.50000000,51.91732756,5.46461916
219.00000000,51.91801051,5.46381962
219.50000000,51.91869345,5.46302006
220.00000000,51.91937639,5.46222048
220.50000000,51.92005932,5.46142087
221.00000000,51.92074225,5.46062124
221.50000000,51.92142517,5.45982159
222.00000000,51.92210809,5.45902191
222.50000000,51.92279100,5.45822220
223.00000000,51.92347508,5.45742513
223.50000000,51.92416441,5.45664001
224.00000000,51.92485921,5.45586769
224.50000000,51.92555941,5.45510828
225.00000000,51.92626491,5.45436187
225.50000000,51.92697563,5.45362856
226.00000000,51.92769146,5.45290845
226.50000000,51.92841231,5.45220163
227.00000000,51.92913810,5.45150820
227.50000000,51.92986872,5.45082825
228.00000000,51.93060408,5.45016186
228.50000000,51.93134409,5.44950912
229.00000000,51.93208865,5.44887011
229.50000000,51.93283766,5.44824493
230.00000000,51.93359102,5.44763366
230.50000000,51.93434863,5.44703636
231.00000000,51.93511040,5.44645313
231.50000000,51.93587623,5.44588404
232.00000000,51.93664602,5.44532916
232.50000000,51.93741966,5.44478856
233.00000000,51.93819706,5.44426233
233.50000000,51.93897811,5.44375051
234.00000000,51.93976272,5.44325319
234.50000000,51.94055077,5.44277043
235.00000000,51.94134217,5.44230229
235.50000000,51.94213589,5.44184454
236.00000000,51.94292969,5.44138716
236.50000000,51.94372349,5.44092977
237.00000000,51.94451728,5.44047236
237.50000000,51.94531108,5.44001493
238.00000000,51.94610487,5.43955749
238.50000000,51.94689866,5.43910003
239.00000000,51.94769245,5.43864256
239.50000000,51.94848623,5.43818507
240.00000000,51.94928002,5.43772756
240.50000000,51.95007380,5.43727004
241.00000000,51.95086758,5.43681250
241.50000000,51.95166136,5.43635495
242.00000000,51.95245514,5.43589738
242.50000000,51.95324892,5.43543979
243.00000000,51.95404269,5.43498219
243.50000000,51.95483647,5.43452457
244.00000000,51.95563024,5.43406693
244.50000000,51.95642401,5.43360928
245.00000000,51.95721777,5.43315161
245.50000000,51.95801154,5.43269393
246.00000000,51.95880530,5.43223623
246.50000000,51.95959906,5.43177851
247.00000000,51.96039283,5.43132078
247.50000000,51.96118658,5.43086303
248.00000000,51.96198034,5.43040526
248.50000000,51.96277410,5.42994748
249.00000000,51.96356785,5.42948969
249.50000000,51.96436160,5.42903187
250.00000000,51.96515535,5.42857404
250.50000000,51.96594910,5.42811619
251.00000000,51.96674284,5.42765833
251.50000000,51.96753659,5.42720045
252.00000000,51.96833033,5.42674256
252.50000000,51.96912407,5.42628465
253.00000000,51.96991781,5.42582672
253.50000000,51.97071155,5.42536878
254.00000000,51.97150528,5.42491082
254.50000000,51.97229902,5.42445284
255.00000000,51.97309275,5.42399485
255.50000000,51.97388648,5.42353684
256.00000000,51.97468021,5.42307881
256.50000000,51.97547393,5.42262077
257.00000000,51.97626766,5.42216272
257.50000000,51.97706138,5.42170464
258.00000000,51.97785510,5.42124655
258.50000000,51.97864882,5.42078845
259.00000000,51.97944254,5.42033032
259.50000000,51.98023626,5.41987219
260.00000000,51.98102997,5.41941403
260.50000000,51.98182368,5.41895586
261.00000000,51.98261739,5.41849767
261.50000000,51.98341110,5.41803947
262.00000000,51.98420481,5.41758125
262.50000000,51.98499852,5.41712301
263.00000000,51.98579222,5.41666476
